job_company,job_education,job_industry,job_listed,job_location,job_name            ,job_persons,job_salary,job_time ,job_year
泛阿网络       ,硕士           ,互联网         ,A轮        ,北京 朝阳区 对外经贸 ,算法工程师               ,100-499人   ,27k-40k   ,发布于02月13日,3-5年
今日头条       ,硕士           ,移动互联网       ,D轮及以上     ,北京 海淀区 中关村  ,视频算法工程师             ,10000人以上   ,20k-40k   ,发布于02月25日,经验不限
京东数字科技     ,硕士           ,互联网         ,不需要融资     ,北京          ,算法工程师（SLAM）         ,1000-9999人 ,30k-60k   ,发布于02月25日,3-5年
小鹏汽车       ,本科           ,汽车生产        ,B轮        ,北京 海淀区 北京大学 ,视觉算法工程师             ,1000-9999人 ,6k-7k     ,发布于02月21日,经验不限
BOE        ,本科           ,计算机软件       ,已上市       ,北京 大兴区 亦庄   ,资深算法工程师             ,10000人以上   ,25k-35k   ,发布于02月25日,5-10年
京东集团       ,硕士           ,电子商务        ,已上市       ,北京          ,算法工程师               ,10000人以上   ,30k-60k   ,发布于02月26日,经验不限
恒润科技       ,硕士           ,其他行业        ,未融资       ,北京 海淀区 知春路  ,控制算法工程师             ,1000-9999人 ,10k-15k   ,发布于02月25日,经验不限
小药药        ,大专           ,医疗健康        ,C轮        ,北京 朝阳区 望京   ,高级算法工程师             ,1000-9999人 ,40k-70k   ,发布于14:30 ,5-10年
合伙猫        ,本科           ,互联网         ,不需要融资     ,北京 海淀区 西二旗  ,风控算法工程师             ,500-999人   ,30k-60k   ,发布于02月20日,3-5年
清华同方       ,本科           ,互联网         ,已上市       ,北京 朝阳区 亚运村  ,深度学习算法工程师           ,10000人以上   ,30k-60k   ,发布于02月26日,3-5年
威马汽车       ,本科           ,汽车生产        ,B轮        ,北京 朝阳区 太阳宫  ,引擎算法工程师             ,1000-9999人 ,30k-40k   ,发布于02月18日,1-3年
三一集团       ,硕士           ,其他行业        ,已上市       ,北京 昌平区 回龙观  ,定位与高精地图算法工程师        ,10000人以上   ,50k-80k   ,发布于昨天    ,3-5年
停简单        ,硕士           ,移动互联网       ,C轮        ,北京 海淀区 五道口  ,视觉感知算法工程师           ,500-999人   ,20k-40k   ,发布于02月20日,3-5年
国美在线       ,本科           ,互联网         ,已上市       ,北京 朝阳区 三元桥  ,大数据算法工程师            ,10000人以上   ,20k-40k   ,发布于02月21日,3-5年
量化派        ,本科           ,互联网金融       ,C轮        ,北京 海淀区 中关村  ,风控算法工程师             ,100-499人   ,15k-25k   ,发布于02月13日,1-3年
今日头条       ,本科           ,移动互联网       ,D轮及以上     ,北京 海淀区 中关村  ,音频算法工程师             ,10000人以上   ,25k-50k   ,发布于02月22日,经验不限
北京新氧万维     ,本科           ,互联网         ,D轮及以上     ,北京 朝阳区 望京   ,算法工程师               ,500-999人   ,25k-50k   ,发布于02月22日,5-10年
落角         ,本科           ,电子商务        ,          ,北京 海淀区 中关村  ,广告算法工程师             ,100-499人   ,30k-60k   ,发布于02月24日,3-5年
海致BDP      ,本科           ,企业服务        ,C轮        ,北京 海淀区 学院路  ,搜索算法工程师             ,100-499人   ,15k-25k   ,发布于昨天    ,3-5年
四维图新       ,本科           ,互联网         ,已上市       ,北京 海淀区 西北旺  ,C/C++核心算法工程师        ,1000-9999人 ,15k-25k   ,发布于02月20日,1-3年
河狸家        ,本科           ,O2O         ,D轮及以上     ,北京 朝阳区 三元桥  ,算法工程师(J10834)       ,500-999人   ,70k-100k  ,发布于02月16日,5-10年
百度         ,硕士           ,互联网         ,已上市       ,北京 海淀区 上地   ,高级算法工程师             ,10000人以上   ,30k-35k   ,发布于09:21 ,1年以内
Boss直聘     ,本科           ,人力资源服务      ,D轮及以上     ,北京 朝阳区 太阳宫  ,搜索/推荐高级算法工程师        ,1000-9999人 ,30k-50k   ,发布于昨天    ,5-10年
今日头条       ,本科           ,移动互联网       ,D轮及以上     ,北京 海淀区 中关村  ,高级/资深算法工程师-增长方向     ,10000人以上   ,25k-50k   ,发布于02月26日,1-3年
百融金服       ,本科           ,数据服务        ,C轮        ,北京 海淀区 中关村  ,高级算法工程师             ,500-999人   ,20k-40k   ,发布于02月14日,1-3年
界面网        ,硕士           ,互联网金融       ,B轮        ,北京 朝阳区 十里堡  ,高级算法工程师             ,100-499人   ,20k-40k   ,发布于15:01 ,3-5年
北京泰豪       ,硕士           ,计算机软件       ,已上市       ,北京 大兴区 亦庄   ,视觉算法工程师             ,500-999人   ,15k-30k   ,发布于02月19日,1-3年
茄子快传       ,本科           ,互联网         ,B轮        ,北京 海淀区 上地   ,广告算法工程师             ,100-499人   ,30k-60k   ,发布于02月19日,经验不限
百度         ,本科           ,互联网         ,已上市       ,北京 海淀区 西北旺  ,FEED策略算法工程师         ,10000人以上   ,20k-40k   ,发布于02月25日,经验不限
OPPO       ,本科           ,互联网         ,不需要融资     ,北京 朝阳区 朝阳公园 ,高级搜索排序算法工程师         ,10000人以上   ,30k-60k   ,发布于02月19日,5-10年
创奇视界       ,本科           ,计算机软件       ,未融资       ,北京 海淀区 五道口  ,算法工程师               ,0-20人      ,18k-25k   ,发布于02月14日,3-5年
大汉正源       ,本科           ,电子/半导体/集成电路 ,天使轮       ,北京 昌平区 天通苑  ,算法工程师               ,0-20人      ,20k-40k   ,发布于02月14日,3-5年
河狸家        ,本科           ,O2O         ,D轮及以上     ,北京 朝阳区 三元桥  ,高级算法工程师             ,500-999人   ,30k-50k   ,发布于02月13日,3-5年
百科名医       ,本科           ,互联网         ,A轮        ,北京 朝阳区 大望路  ,算法工程师               ,20-99人     ,18k-30k   ,发布于02月16日,经验不限
BOE        ,硕士           ,计算机软件       ,已上市       ,北京 大兴区 亦庄   ,图像处理算法工程师           ,10000人以上   ,12k-24k   ,发布于02月25日,1-3年
映客直播       ,本科           ,移动互联网       ,已上市       ,北京 朝阳区 望京   ,广告算法工程师             ,500-999人   ,25k-35k   ,发布于02月18日,1-3年
今日头条       ,本科           ,移动互联网       ,D轮及以上     ,北京 海淀区 中关村  ,音频算法工程师             ,10000人以上   ,25k-50k   ,发布于02月22日,3-5年
下厨房        ,本科           ,互联网         ,B轮        ,北京 海淀区 清河   ,算法工程师               ,100-499人   ,15k-25k   ,发布于02月26日,1-3年
清华同方       ,本科           ,互联网         ,已上市       ,北京 朝阳区 亚运村  ,深度学习算法工程师           ,10000人以上   ,30k-60k   ,发布于02月26日,3-5年
量化派        ,本科           ,互联网金融       ,C轮        ,北京 海淀区 中关村  ,初级算法工程师             ,100-499人   ,12k-18k   ,发布于02月20日,1年以内
伊甸工程设计     ,硕士           ,装修装饰        ,不需要融资     ,北京 朝阳区 国贸   ,高级算法工程师             ,500-999人   ,25k-50k   ,发布于02月19日,3-5年
弘道智慧中医     ,本科           ,互联网         ,不需要融资     ,北京 海淀区 中关村  ,算法工程师               ,100-499人   ,18k-35k   ,发布于02月19日,1-3年
BOE        ,硕士           ,计算机软件       ,已上市       ,北京 大兴区 亦庄   ,图像处理算法工程师           ,10000人以上   ,12k-24k   ,发布于02月25日,1-3年
映客直播       ,本科           ,移动互联网       ,已上市       ,北京 朝阳区 望京   ,广告算法工程师             ,500-999人   ,25k-35k   ,发布于02月18日,1-3年
今日头条       ,本科           ,移动互联网       ,D轮及以上     ,北京 海淀区 中关村  ,音频算法工程师             ,10000人以上   ,25k-50k   ,发布于02月22日,3-5年
量化派        ,本科           ,互联网金融       ,C轮        ,北京 海淀区 中关村  ,初级算法工程师             ,100-499人   ,12k-18k   ,发布于02月20日,1年以内
伊甸工程设计     ,硕士           ,装修装饰        ,不需要融资     ,北京 朝阳区 国贸   ,高级算法工程师             ,500-999人   ,25k-50k   ,发布于02月19日,3-5年
清华同方       ,本科           ,互联网         ,已上市       ,北京 朝阳区 亚运村  ,深度学习算法工程师           ,10000人以上   ,30k-60k   ,发布于02月26日,3-5年
雪球公司       ,硕士           ,互联网金融       ,D轮及以上     ,北京 朝阳区 望京   ,算法工程师               ,100-499人   ,30k-60k   ,发布于02月21日,3-5年
河狸家        ,本科           ,O2O         ,D轮及以上     ,北京 朝阳区 三元桥  ,高级算法工程师             ,500-999人   ,30k-50k   ,发布于02月13日,3-5年
嘉楠捷思       ,本科           ,数据服务        ,A轮        ,北京 海淀区 上地   ,语音算法工程师             ,100-499人   ,50k-80k   ,发布于昨天    ,3-5年
联合创展       ,本科           ,移动互联网       ,不需要融资     ,北京 朝阳区 望京   ,高级算法工程师             ,100-499人   ,25k-50k   ,发布于02月20日,3-5年
今日头条       ,本科           ,移动互联网       ,D轮及以上     ,北京 东城区 王府井  ,风控算法工程师             ,10000人以上   ,20k-40k   ,发布于02月22日,经验不限
vivo       ,硕士           ,移动互联网       ,不需要融资     ,北京 朝阳区 酒仙桥  ,AI算法工程师             ,10000人以上   ,35k-65k   ,发布于02月26日,3-5年
落角         ,本科           ,电子商务        ,          ,北京 海淀区 中关村  ,NLP算法工程师            ,100-499人   ,30k-60k   ,发布于02月24日,3-5年
中通天鸿       ,本科           ,企业服务        ,A轮        ,北京          ,NLP算法工程师            ,100-499人   ,20k-30k   ,发布于02月19日,1-3年
人人云图       ,硕士           ,信息安全        ,A轮        ,北京 海淀区 学院路  ,算法工程师               ,20-99人     ,8k-13k    ,发布于02月20日,1-3年
汽车之家       ,硕士           ,互联网         ,已上市       ,北京 海淀区 中关村  ,NLP算法工程师            ,1000-9999人 ,20k-40k   ,发布于02月19日,1-3年
宽凳科技       ,硕士           ,互联网         ,A轮        ,北京 朝阳区 朝外   ,高精地图算法工程师           ,100-499人   ,25k-50k   ,发布于02月14日,1-3年
VIPKID     ,本科           ,移动互联网       ,D轮及以上     ,北京 海淀区 清河   ,机器学习算法工程师           ,10000人以上   ,35k-60k   ,发布于02月25日,3-5年
云数启源       ,本科           ,互联网         ,已上市       ,北京 海淀区 万柳   ,计算机视觉算法工程师          ,500-999人   ,35k-45k   ,发布于昨天    ,5-10年
影谱科技       ,硕士           ,音乐/视频/阅读    ,已上市       ,北京 东城区 东直门  ,算法工程师               ,100-499人   ,20k-40k   ,发布于昨天    ,1-3年
探迹         ,本科           ,互联网         ,A轮        ,北京          ,NLP算法工程师            ,100-499人   ,20k-40k   ,发布于02月25日,3-5年
