行号 ,job_company,job_name            ,job_salary
197,视感科技       ,DSP音频算法工程师          ,18k-35k
198,凤凰网        ,算法工程师（2019校招招聘）     ,15k-30k
199,苏州步长       ,通信算法工程师             ,12k-24k
200,腾讯         ,微信推荐机器学习算法工程师       ,30k-60k
201,中科晶上       ,通信算法工程师             ,15k-30k
202,贝壳找房       ,资深算法工程师-广告推荐方向      ,25k-50k
203,北京未动科技有限公司 ,资深算法工程师             ,30k-60k
204,启元世界       ,机器人算法工程师            ,20k-40k
205,闪灵未来       ,算法工程师               ,15k-30k
206,致远慧图       ,AI算法工程师             ,20k-40k
207,京东数字科技     ,算法工程师-语音合成方向        ,30k-60k
208,象心力科技      ,气象算法工程师             ,12k-22k
209,掌游天下       ,广告算法工程师-广告事业部       ,25k-40k
210,狸米科技       ,算法工程师（自然语言处理）       ,25k-50k
211,百融金服       ,算法工程师-实习生           ,4k-6k
212,翔创科技       ,资深算法工程师             ,15k-25k
213,希子         ,NLP算法工程师            ,15k-30k
214,蚂蚁金服       ,蚂蚁金服-财富-高级算法工程师/专家  ,25k-45k
215,远度科技       ,无线通信基带算法工程师         ,20k-30k
216,分享动力       ,NLP算法工程师            ,20k-40k
217,华志医疗       ,VTK算法工程师            ,15k-30k
218,量化派        ,风控算法工程师实习生          ,4k-8k
219,中科创星       ,图像处理算法工程师           ,11k-16k
220,北航无人机公司    ,导航算法工程师             ,13k-25k
221,欣途峰        ,通信算法工程师             ,20k-25k
222,今日头条       ,NLP算法工程师（自然语言处理）    ,30k-50k
223,奇虎360      ,自然语言处理算法工程师         ,15k-30k
224,腾讯         ,自动驾驶计算机视觉算法工程师（北京)  ,30k-60k
225,博云视觉       ,实习视觉算法工程师           ,6k-10k
226,新世相        ,算法工程师-语音识别方向        ,15k-30k
227,福满仓        ,算法工程师               ,30k-40k
228,茄子快传       ,算法工程师(15亿用户）        ,30k-60k
229,恩典金鼎知行科技   ,大数据算法工程师            ,20k-40k
230,汉朗网科       ,计算机视觉算法工程师          ,15k-20k
231,今日头条       ,数据挖掘算法工程师 - 反作弊方向   ,25k-50k
232,洛伦兹        ,高级算法工程师             ,30k-50k
233,平安科技       ,AI音乐分析及搜索算法工程师      ,30k-60k
234,清投智能       ,导航算法工程师             ,15k-20k
235,大汉正源       ,无人驾驶算法工程师           ,20k-40k
236,易道博识       ,深度学习算法工程师           ,20k-30k
237,艾普希隆       ,语音算法工程师             ,100k-180k
238,中测智绘       ,计算机视觉算法工程师          ,25k-35k
239,创新奇智       ,机器学习算法工程师           ,20k-40k
240,洛伦兹        ,高级算法工程师             ,30k-50k
241,清投智能       ,导航算法工程师             ,15k-20k
242,易道博识       ,深度学习算法工程师           ,20k-30k
243,艾普希隆       ,语音算法工程师             ,100k-180k
244,中测智绘       ,计算机视觉算法工程师          ,25k-35k
245,创新奇智       ,机器学习算法工程师           ,20k-40k
246,北京灵思创奇科技...,机器人控制算法工程师          ,8k-15k
247,百度         ,百度Feed-深度学习算法工程师    ,20k-40k
248,北京远看       ,深度学习算法工程师           ,20k-40k
249,BIGO       ,网络传输算法工程师           ,30k-50k
250,致远慧图       ,高级AI算法工程师           ,20k-35k
251,互影         ,音频算法工程师             ,20k-40k
252,蚂蚁金服       ,高级算法工程师             ,25k-50k
253,音悦荚        ,音频算法工程师             ,15k-30k
254,橙鹰         ,知识图谱算法工程师           ,40k-70k
255,希子         ,高级NLP算法工程师          ,30k-60k
256,roobo      ,图像视觉/深度学习算法工程师      ,20k-40k
257,超凡股份       ,01自然语言处理算法工程师       ,15k-30k
258,联合创展       ,高级风控算法工程师           ,35k-55k
259,缙铖医疗       ,人工智能算法工程师           ,20k-30k
260,腾讯         ,微信搜索机器学习算法工程师       ,22k-23k
261,同方威视       ,三维重建/机器视觉算法工程师      ,15k-20k
262,地平线        ,点云建图定位算法工程师         ,20k-40k
263,大视景        ,C++ 算法工程师           ,15k-30k
264,必要商城       ,深度学习算法工程师           ,20k-35k
265,联合创展       ,反欺诈高级算法工程师          ,30k-55k
266,快陪练        ,资深音频算法工程师           ,25k-50k
267,数介科技       ,资深算法工程师             ,15k-22k
268,神州四达       ,雷达、算法工程师            ,10k-15k
269,小药药        ,算法工程师（自然语言处理方向）     ,20k-35k
270,周同科技       ,NLP算法工程师            ,20k-40k
271,捷通华声       ,人脸识别算法工程师（AFR）      ,30k-60k
272,福满仓        ,语音算法工程师             ,25k-35k
273,nreal.ai   ,视觉算法工程师 (MJ000025)  ,30k-40k
274,中通天鸿       ,资深NLP算法工程师/架构师      ,15k-20k
275,联洋国融（北京）...,知识图谱算法工程师           ,20k-30k
276,创新奇智       ,机器学习算法工程师（推荐系统方向）   ,6k-7k
277,踏歌智行       ,算法工程师（无人车控制算法）      ,20k-30k
278,今日头条       ,算法工程师               ,35k-50k
279,芜湖通江       ,深度机器学习算法工程师         ,14k-24k
280,汉能控股集团     ,算法工程师（自然语言处理方向）     ,25k-40k
281,百融金服       ,NLP算法工程师（实习岗）       ,4k-6k
282,减脂时代       ,图像处理算法工程师           ,15k-30k
283,希子         ,高级大数据算法工程师          ,30k-50k
284,蜗牛睡眠       ,算法工程师（音频方向）         ,20k-40k
285,小鹏汽车       ,机器学习资深算法工程师（多模态学习）  ,26k-45k
286,欣途峰        ,通信算法工程师             ,18k-23k
287,百度         ,百度大搜索_算法工程师(图片搜索方向） ,30k-60k
288,巧达数据       ,知识图谱算法工程师（关系计算方向）   ,20k-35k
289,BIGO       ,SLAM算法工程师           ,40k-70k
290,京东数字科技     ,算法工程师—知识图谱方向        ,30k-60k
291,周同科技       ,NLP算法工程师            ,20k-40k
292,创新奇智       ,自然语言处理算法工程师         ,30k-50k
293,艾普希隆       ,算法工程师（大数据）          ,30k-60k
294,今日头条       ,广告算法工程师             ,30k-55k
295,京东数字科技     ,算法工程师               ,30k-50k
296,举人在线       ,高级路径规划与决策算法工程师      ,35k-60k
297,智慧足迹       ,算法工程师（机器学习）         ,15k-30k
298,减脂时代       ,三维重建算法工程师           ,20k-40k
299,爱咔咔        ,人工智能算法工程师           ,15k-30k
