job_company    ,job_education,job_industry,job_listed,job_location,job_name                  ,job_persons,job_salary,job_time ,job_year
掌阅科技           ,本科           ,互联网         ,已上市       ,北京 朝阳区 高碑店  ,高级服务研发工程师（Python）         ,500-999人   ,20k-30k   ,发布于02月15日,3-5年
智线云            ,本科           ,移动互联网       ,A轮        ,北京 朝阳区 朝阳公园 ,全栈工程师-(PHP/Python/Java)   ,100-499人   ,15k-30k   ,发布于昨天    ,3-5年
明和中业           ,本科           ,互联网         ,不需要融资     ,北京 西城区 广内大街 ,Python 爬虫工程师              ,20-99人     ,8k-12k    ,发布于02月26日,3-5年
举人在线           ,本科           ,移动互联网       ,          ,北京 朝阳区 朝外   ,python实习生                 ,100-499人   ,4k-6k     ,发布于10:06 ,应届生
射雕             ,本科           ,游戏          ,A轮        ,北京 朝阳区 北苑   ,python高级工程师               ,20-99人     ,15k-30k   ,发布于02月16日,3-5年
百乘传媒           ,本科           ,移动互联网       ,A轮        ,北京 朝阳区 小营   ,高级Python工程师               ,20-99人     ,18k-30k   ,发布于02月22日,3-5年
匠心无忧科技         ,大专           ,在线教育        ,未融资       ,北京 昌平区 回龙观  ,python兼职讲师                ,0-20人      ,10k-11k   ,发布于02月14日,1-3年
一起教育科技         ,本科           ,互联网         ,D轮及以上     ,北京 朝阳区 望京   ,服务器研发工程师Python            ,1000-9999人 ,15k-25k   ,发布于02月22日,经验不限
福满仓            ,本科           ,计算机服务       ,不需要融资     ,北京 海淀区 五道口  ,Python工程师                 ,100-499人   ,20k-30k   ,发布于02月17日,3-5年
谷德环宇科技         ,学历不限         ,移动互联网       ,天使轮       ,北京 海淀区 学院路  ,Python爬虫开发工程师             ,0-20人      ,15k-30k   ,发布于00:31 ,3-5年
北京市城果科技有...    ,本科           ,计算机软件       ,不需要融资     ,北京 朝阳区 团结湖  ,Python开发工程师岗位             ,20-99人     ,13k-20k   ,发布于02月25日,3-5年
kingo指尖互联      ,学历不限         ,互联网         ,A轮        ,北京          ,Python爬虫工程师(兼职)           ,20-99人     ,2k-3k     ,发布于02月22日,经验不限
大连沃克斯          ,学历不限         ,计算机软件       ,          ,北京 海淀区 北下关  ,python开发                  ,20-99人     ,8k-12k    ,发布于09:34 ,3-5年
智线云            ,本科           ,移动互联网       ,A轮        ,北京 朝阳区 朝阳公园 ,高级Python开发工程师             ,100-499人   ,15k-30k   ,发布于昨天    ,3-5年
大湾控股           ,本科           ,投资/融资       ,B轮        ,北京 丰台区 科技园区 ,Python 爬虫工程师              ,20-99人     ,8k-12k    ,发布于02月19日,3-5年
老虎集团           ,学历不限         ,互联网         ,C轮        ,北京 朝阳区 太阳宫  ,Python 研发工程师              ,100-499人   ,20k-40k   ,发布于02月24日,3-5年
百观             ,本科           ,互联网金融       ,A轮        ,北京 东城区 东四   ,Python爬虫与数据工程师            ,20-99人     ,17k-26k   ,发布于02月23日,经验不限
