job_company,job_education,job_industry,job_listed,job_location,job_name       ,job_persons,job_salary,job_time ,job_year
铜根源        ,本科           ,互联网金融       ,未融资       ,北京 朝阳区 酒仙桥  ,Java           ,20-99人     ,15k-20k   ,发布于09:56 ,5-10年
新致软件       ,本科           ,计算机软件       ,D轮及以上     ,北京 昌平区 回龙观  ,java           ,1000-9999人 ,10k-14k   ,发布于02月26日,3-5年
北京京航航天304所 ,本科           ,计算机软件       ,不需要融资     ,北京 丰台区 云岗   ,Java           ,500-999人   ,8k-13k    ,发布于02月25日,1-3年
udesk      ,本科           ,互联网         ,C轮        ,北京 西城区 西直门  ,Java           ,100-499人   ,15k-25k   ,发布于02月19日,3-5年
小米         ,本科           ,互联网         ,已上市       ,北京 海淀区 清河   ,Java           ,10000人以上   ,15k-25k   ,发布于02月25日,1-3年
元拓科技       ,大专           ,计算机软件       ,不需要融资     ,北京 昌平区 昌平   ,java           ,100-499人   ,10k-12k   ,发布于11:02 ,1-3年
和信         ,本科           ,互联网金融       ,已上市       ,北京 朝阳区 大望路  ,高级JAVA         ,10000人以上   ,20k-35k   ,发布于02月26日,3-5年
法本信息       ,本科           ,互联网         ,已上市       ,北京 朝阳区 望京   ,Java           ,1000-9999人 ,11k-22k   ,发布于02月18日,3-5年
赤骥商贸有限公司   ,大专           ,贸易/进出口      ,未融资       ,北京 朝阳区 朝外   ,Java           ,100-499人   ,10k-15k   ,发布于02月19日,3-5年
联想利泰       ,本科           ,移动互联网       ,已上市       ,北京 西城区 西单   ,JAVA           ,1000-9999人 ,6k-8k     ,发布于14:11 ,3-5年
昆山华信       ,本科           ,计算机软件       ,不需要融资     ,北京 朝阳区 小营   ,Java软件工程师      ,500-999人   ,11k-22k   ,发布于02月26日,3-5年
北信工        ,本科           ,计算机软件       ,已上市       ,北京 丰台区 六里桥  ,Java           ,500-999人   ,9k-14k    ,发布于02月21日,3-5年
北京致医健康     ,本科           ,医疗健康        ,C轮        ,北京 大兴区 亦庄   ,Java工程师        ,1000-9999人 ,12k-20k   ,发布于02月18日,3-5年
