地区         ,岗位名称                   ,招聘机构        ,薪水     ,行业
北京 海淀区 上地  ,爬虫工程师                  ,手机小游戏       ,8k-10k ,游戏
北京 朝阳区 大望路 ,资深爬虫研发工程师              ,融慧金科        ,30k-50k,互联网金融
北京 朝阳区 朝外  ,python爬虫工程师            ,朱雀股权投资      ,10k-15k,互联网金融
北京 海淀区 中关村 ,爬虫工程师                  ,中科院计算所      ,3k-4k  ,计算机软件
北京 海淀区 中关村 ,爬虫负责人                  ,Face++      ,25k-50k,互联网
北京 海淀区 中关村 ,爬虫工程师                  ,艾姆拜氪        ,15k-30k,社交网络
北京 朝阳区 东大桥 ,搜索引擎和爬虫工程师             ,枫玉科技        ,20k-40k,移动互联网
北京 丰台区 六里桥 ,爬虫工程师                  ,易通明德        ,20k-30k,互联网
北京 西城区 阜成门 ,高级爬虫工程师                ,网智天元        ,15k-25k,数据服务
北京 朝阳区 朝外  ,高级爬虫工程师                ,36氪集团       ,25k-35k,互联网
北京 海淀区 上地  ,爬虫开发工程师                ,手机小游戏       ,10k-13k,游戏
北京 海淀区 知春路 ,高级爬虫工程师                ,九州盛腾科技      ,25k-45k,企业服务
北京 东城区 东四  ,爬虫工程师                  ,中诚信征信       ,10k-15k,互联网
北京         ,高级java爬虫开发工程师          ,京东数字科技      ,20k-40k,互联网
北京 海淀区 四季青 ,高级爬虫工程师                ,子衿晨风        ,15k-30k,数据服务
北京 海淀区 四季青 ,高级爬虫工程师                ,子衿晨风        ,15k-30k,数据服务
北京 海淀区 五道口 ,爬虫工程师（QDJKT-180104-0）  ,启迪金科        ,20k-30k,互联网金融
北京 朝阳区 望京  ,Java爬虫工程师              ,马上消费金融      ,15k-30k,互联网金融
北京 海淀区 中关村 ,爬虫工程师                  ,程创科技        ,15k-20k,数据服务
北京 朝阳区 望京  ,爬虫工程师                  ,水滴互助        ,20k-40k,互联网金融
北京 朝阳区 望京  ,爬虫工程师                  ,宜创科技        ,15k-30k,移动互联网
北京 丰台区 洋桥  ,JAVA爬虫工程师              ,天世元         ,15k-30k,旅游
北京 东城区 朝阳门 ,爬虫工程师                  ,roobo       ,15k-30k,智能硬件
北京 海淀区 五道口 ,python爬虫工程师            ,北京普创智通      ,10k-20k,互联网
北京 海淀区 中关村 ,爬虫工程师                  ,搜狐焦点        ,20k-30k,互联网
北京 海淀区 四季青 ,爬虫系统研发工程师              ,子衿晨风        ,15k-30k,数据服务
北京 朝阳区 大望路 ,爬虫工程师                  ,大拿网络科技      ,8k-14k ,互联网
北京 朝阳区 八里庄 ,Python爬虫工程师            ,大拿网络科技      ,8k-12k ,互联网
北京 海淀区 上地  ,Java高级工程师（爬虫方向）        ,北京智同久远科技... ,25k-40k,互联网
北京 海淀区 中关村 ,爬虫工程师                  ,爱奇艺         ,20k-25k,互联网
北京 海淀区 西北旺 ,质量工程中心 高级爬虫研发工程师       ,百度          ,15k-30k,互联网
北京         ,Java爬虫，反爬工程师           ,京东集团        ,18k-30k,电子商务
